topic,explanation
improper use of supplements,improper use of supplements
nyc,"New York, often called New York City to distinguish it from New York State, or NYC for short, is the most populous city in the United States. With a 2020 population of 8,804,190 distributed over 300.46 square miles (778.2 km2), New York City is also the most densely populated major city in the United States. Located at the southern tip of the State of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban area.[9] With over 20 million people in its metropolitan statistical area and approximately 23 million in its combined statistical area, it is one of the world's most populous megacities. New York City has been described as the cultural, financial, and media capital of the world, significantly influencing commerce, entertainment, research, technology, education, politics, tourism, art, fashion, and sports, and is the most photographed city in the world.[10] Home to the headquarters of the United Nations, New York is an important center for international diplomacy,[11][12] and has sometimes been called the capital of the world.[13][14]

Situated on one of the world's largest natural harbors, New York City is composed of five boroughs, each of which is coextensive with a respective county of the State of New York. The five boroughs—Brooklyn (Kings County), Queens (Queens County), Manhattan (New York County), the Bronx (Bronx County), and Staten Island (Richmond County)—were created when local governments were consolidated into a single municipal entity in 1898.[15] The city and its metropolitan area constitute the premier gateway for legal immigration to the United States. As many as 800 languages are spoken in New York,[16] making it the most linguistically diverse city in the world. New York is home to more than 3.2 million residents born outside the United States, the largest foreign-born population of any city in the world as of 2016.[17][18] As of 2019, the New York metropolitan area is estimated to produce a gross metropolitan product (GMP) of $2.0 trillion. If the New York metropolitan area were a sovereign state, it would have the eighth-largest economy in the world. New York is home to the highest number of billionaires of any city in the world.[19]

New York City traces its origins to a trading post founded on the southern tip of Manhattan Island by Dutch colonists in approximately 1624. The settlement was named New Amsterdam (Dutch: Nieuw Amsterdam) in 1626 and was chartered as a city in 1653. The city came under English control in 1664 and was renamed New York after King Charles II of England granted the lands to his brother, the Duke of York.[20][21] The city was regained by the Dutch in July 1673 and was renamed New Orange for one year and three months; the city has been continuously named New York since November 1674. New York City was the capital of the United States from 1785 until 1790,[22] and has been the largest U.S. city since 1790. The Statue of Liberty greeted millions of immigrants as they came to the U.S. by ship in the late 19th and early 20th centuries, and is a symbol of the U.S. and its ideals of liberty and peace.[23] In the 21st century, New York has emerged as a global node of creativity, entrepreneurship,[24] and environmental sustainability,[25][26] and as a symbol of freedom and cultural diversity.[27] In 2019, New York was voted the greatest city in the world per a survey of over 30,000 people from 48 cities worldwide, citing its cultural diversity.[28]

Many districts and monuments in New York City are major landmarks, including three of the world's ten most visited tourist attractions in 2013.[29] A record 66.6 million tourists visited New York City in 2019. Times Square is the brightly illuminated hub of the Broadway Theater District,[30] one of the world's busiest pedestrian intersections,[29][31] and a major center of the world's entertainment industry.[32] Many of the city's landmarks, skyscrapers, and parks are known around the world. The Empire State Building has become the global standard of reference to describe the height and length of other structures.[33][34][35] Manhattan's real estate market is among the most expensive in the world.[36][37] Providing continuous 24/7 service and contributing to the nickname The City That Never Sleeps, the New York City Subway is the largest single-operator rapid transit system worldwide, with 472 rail stations. The city has over 120 colleges and universities, including Columbia University, New York University, Rockefeller University, and the City University of New York system, which is the largest urban public university system in the United States. Anchored by Wall Street in the Financial District of Lower Manhattan, New York City has been called both the world's leading financial center and the most financially powerful city in the world, and is home to the world's two largest stock exchanges by total market capitalization, the New York Stock Exchange and NASDAQ.[38][39]"
daesh and al queda,"Islamic State (official name since June 2014;[98] abbreviated IS), at times known as the Islamic State of Iraq and the Levant (ISIL; /ˈaɪsəl, ˈaɪsɪl/), and as the Islamic State of Iraq and Syria (ISIS; /ˈaɪsɪs/),[99] or by its Arabic acronym, Daesh (داعش, Dāʿish, IPA: [ˈdaːʕɪʃ]),[100] is a militant Sunni Islamist group and former unrecognized quasi-state[101] that follows a Salafi jihadist doctrine.[102] Islamic State was founded by Abu Musab al-Zarqawi and gained global prominence in 2014 when it drove Iraqi security forces out of key cities in its Western Iraq offensive,[103] followed by its capture of Mosul[104] and the Sinjar massacre.[105]

IS originated in 1999, pledged allegiance to Al-Qaeda and participated in the Iraqi insurgency following the 2003 invasion of Iraq by Western forces. In June 2014, the group proclaimed itself a worldwide caliphate[106][107] and began referring to itself as the Islamic State (الدولة الإسلامية ad-Dawlah al-Islāmiyah; IS).[1] As a caliphate, it claimed religious, political, and military authority over all Muslims worldwide.[108] Its adoption of the name Islamic State and its idea of a caliphate have been criticised, with the United Nations, various governments, and mainstream Muslim groups rejecting its statehood.[109] In Syria, the group conducted ground attacks on both government forces and opposition factions, and by December 2015, it held an area extending from western Iraq to eastern Syria, containing an estimated eight to twelve million people,[54][55][110] where it enforced its interpretation of sharia law. They were estimated at the time to have an annual budget of more than US$1 billion and more than 30,000 fighters.[111]

In mid-2014, an international coalition led by the United States intervened against ISIL in Syria and Iraq with an airstrike campaign, in addition to supplying advisors, weapons, training, and supplies to ISIL's enemies in the Iraqi Security Forces and Syrian Democratic Forces. This campaign reinvigorated the latter two forces and damaged ISIL, killing tens of thousands of its troops[112] and reducing its financial and military infrastructure.[113] This was followed by a smaller-scale Russian intervention exclusively in Syria, in which ISIL lost thousands more fighters to airstrikes, cruise missile attacks, and other Russian military activities and had its financial base further degraded.[114] In July 2017, the group lost control of its largest city, Mosul, to the Iraqi army, followed by the loss of its de facto political capital of Raqqa to the Syrian Democratic Forces.[115] By December 2017, the Islamic State controlled just 2% of its maximum territory (in May 2015).[116] In December 2017, Iraqi forces had driven the last remnants of the Islamic State underground, three years after the group captured about a third of Iraq's territory.[117] By March 2019, ISIL lost one of their last significant territories in the Middle East in the Deir ez-Zor campaign, surrendering their ""tent city"" and pockets in Al-Baghuz Fawqani to the Syrian Democratic Forces after the Battle of Baghuz Fawqani.[30]

The group has been designated as a terrorist organisation by the United Nations. The IS is known for its videos of beheadings and other types of executions[118] of both soldiers and civilians, including journalists and aid workers, and its destruction of cultural heritage sites.[119] The United Nations holds ISIL responsible for committing human rights abuses, genocide, war crimes, and crimes against humanity.[120] The Islamic State committed genocide and ethnic cleansing on a historic scale in northern Iraq.[121][122] In October 2019, IS media announced that Abu Ibrahim al-Hashimi al-Qurashi was the new leader of the Islamic State,[123] after Abu Bakr al-Baghdadi killed himself by detonating a suicide vest during the US Barisha raid in Syria.[124][125][126] The Islamic State has also had a presence outside the Middle East through its affiliates and various ""provinces"",[127] and has been militarily active in countries including notably in Nigeria, Afghanistan and the Philippines.[128]"
intelligence methods used to identify potential terorrists,"The Bush administration has begun to revise cold war rules governing national security information in order to counter terrorist threats to the United States. The president’s homeland security plan calls for new intelligence efforts to protect the nation’s borders, defend against threats within the United States, minimize infrastructure vulnerabilities, and improve emergency responses. Congress has given the new Department of Homeland Security responsibility for coordinating these strategies and assuring that accurate and complete information gets to those who need it.

Policymakers must go further to build a new intelligence system to support transformed national security needs. Threats involving unknown perpetrators, methods, and targets cannot be countered with strategies designed for use by federal officials to combat more predictable adversaries. Today, state and local law enforcement, public health, and emergency response personnel are on the front lines of detecting and responding to terrorist threats; corporate managers are responsible for securing key infrastructure such as energy supplies, chemical plants, and telecommunications; and workers and neighborhood residents may hold information that can help prevent attacks."
lawyer,"A lawyer or attorney is a person who practices law, as an advocate, attorney at law, barrister, barrister-at-law, bar-at-law, canonist, canon lawyer, civil law notary, counsel, counselor, solicitor, legal executive, or public servant preparing, interpreting and applying the law, but not as a paralegal or charter executive secretary.[1] Working as a lawyer involves the practical application of abstract legal theories and knowledge to solve specific individualized problems, or to advance the interests of those who hire lawyers to perform legal services. The role of the lawyer varies greatly across different legal jurisdictions.[2][3]"
nuclear deals,"The Joint Comprehensive Plan of Action (JCPOA; Persian: برنامه جامع اقدام مشترک‎, romanized: barnāmeye jāme'e eqdāme moshtarak (برجام, BARJAM)),[4][5] known commonly as the Iran nuclear deal or Iran deal, is an agreement on the Iranian nuclear program reached in Vienna on 14 July 2015, between Iran and the P5+1 (the five permanent members of the United Nations Security Council—China, France, Russia, United Kingdom, United States—plus Germany)[a] together with the European Union.

Formal negotiations toward JCPOA began with the adoption of the Joint Plan of Action, an interim agreement signed between Iran and the P5+1 countries in November 2013. Iran and the P5+1 countries engaged in negotiations for the next 20 months and, in April 2015, agreed on a framework for the final agreement. In July 2015, Iran and the P5+1 confirmed agreement on the plan, along with the ""Roadmap Agreement"" between Iran and the IAEA.[8]"
the nuclear deal,"The Joint Comprehensive Plan of Action (JCPOA; Persian: برنامه جامع اقدام مشترک‎, romanized: barnāmeye jāme'e eqdāme moshtarak (برجام, BARJAM)),[4][5] known commonly as the Iran nuclear deal or Iran deal, is an agreement on the Iranian nuclear program reached in Vienna on 14 July 2015, between Iran and the P5+1 (the five permanent members of the United Nations Security Council—China, France, Russia, United Kingdom, United States—plus Germany)[a] together with the European Union.

Formal negotiations toward JCPOA began with the adoption of the Joint Plan of Action, an interim agreement signed between Iran and the P5+1 countries in November 2013. Iran and the P5+1 countries engaged in negotiations for the next 20 months and, in April 2015, agreed on a framework for the final agreement. In July 2015, Iran and the P5+1 confirmed agreement on the plan, along with the ""Roadmap Agreement"" between Iran and the IAEA.[8]"
domestic airline competition,"ir transport has radically evolved over the last two decades. Liberalisation and deregulation of the sector have facilitated the entry of new firms, which in turn has had a positive impact on competition and innovation. Deregulation and liberalisation also significantly altered marked structure, giving rise to mergers of flag airline carriers and diverse forms of collaboration. 

However, in some cases, collaboration can actually be anti-competitive. It is essential to ensure that former regulatory barriers are not replaced by anti-competitive airline mergers, alliances, agreements and unilateral practices.

In June 2014, the OECD Competition Committee held a discussion on Airline Competition to examine the main competition issues in the sector and how competition enforcement authorities have been dealing with them. "
independence declartions,"The United States Declaration of Independence[a] is the pronouncement adopted by the Second Continental Congress meeting in Philadelphia, Pennsylvania, on July 4, 1776. The Declaration explains why the Thirteen Colonies at war with the Kingdom of Great Britain regarded themselves as thirteen independent sovereign states, no longer under British rule. With the Declaration, these new states took a collective first step toward forming the United States of America. The declaration was signed by representatives from New Hampshire, Massachusetts Bay, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Maryland, Delaware, Virginia, North Carolina, South Carolina, and Georgia.

The Lee Resolution for independence was passed by the Second Continental Congress on July 2 with no opposing votes. The Committee of Five had drafted the Declaration to be ready when Congress voted on independence. John Adams, a leader in pushing for independence, had persuaded the committee to select Thomas Jefferson to compose the original draft of the document,[2] which Congress edited to produce the final version. The Declaration was a formal explanation of why Congress had voted to declare independence from Great Britain, more than a year after the outbreak of the American Revolutionary War. Adams wrote to his wife Abigail, ""The Second Day of July 1776, will be the most memorable Epocha, in the History of America""[3] – although Independence Day is actually celebrated on July 4, the date that the wording of the Declaration of Independence was approved.

After ratifying the text on July 4, Congress issued the Declaration of Independence in several forms. It was initially published as the printed Dunlap broadside that was widely distributed and read to the public. The source copy used for this printing has been lost and may have been a copy in Thomas Jefferson's hand.[4] Jefferson's original draft is preserved at the Library of Congress, complete with changes made by John Adams and Benjamin Franklin, as well as Jefferson's notes of changes made by Congress. The best-known version of the Declaration is a signed copy that is displayed at the National Archives in Washington, D.C., and which is popularly regarded as the official document. This engrossed copy (finalized, calligraphic copy) was ordered by Congress on July 19 and signed primarily on August 2.[5][6]

The sources and interpretation of the Declaration have been the subject of much scholarly inquiry. The Declaration justified the independence of the United States by listing 27 colonial grievances against King George III and by asserting certain natural and legal rights, including a right of revolution. Its original purpose was to announce independence, and references to the text of the Declaration were few in the following years. Abraham Lincoln made it the centerpiece of his policies and his rhetoric, as in the Gettysburg Address of 1863.[7] Since then, it has become a well-known statement on human rights, particularly its second sentence:

We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.
The declaration was made to guarantee equal rights for every person, and if it had been intended for only a certain section of people, Congress would have left it as ""rights of Englishmen"".[8] Stephen Lucas called it ""one of the best-known sentences in the English language"",[9] with Joseph Ellis saying it contains ""the most potent and consequential words in American history"".[10] The passage came to represent a moral standard to which the United States should strive. This view was notably promoted by Lincoln, who considered the Declaration to be the foundation of his political philosophy and argued that it is a statement of principles through which the United States Constitution should be interpreted.[11]

The Declaration of Independence inspired many similar documents in other countries, the first being the 1789 Declaration of United Belgian States issued during the Brabant Revolution in the Austrian Netherlands. It also served as the primary model for numerous declarations of independence in Europe and Latin America, as well as Africa (Liberia) and Oceania (New Zealand) during the first half of the 19th century.[12]"
conservativism,"Conservatism is an aesthetic, cultural, social, and political philosophy, which seeks to promote and to preserve traditional social institutions.[1] The central tenets of conservatism may vary in relation to the traditional values or practices of the culture and civilization in which it appears. In Western culture, conservatives seek to preserve a range of institutions such as organized religion, parliamentary government, and property rights.[2] Adherents of conservatism often oppose modernism and seek a return to traditional values.[3][4]

The first established use of the term in a political context originated in 1818 with François-René de Chateaubriand[5] during the period of Bourbon Restoration that sought to roll back the policies of the French Revolution. Historically associated with right-wing politics, the term has since been used to describe a wide range of views. There is no single set of policies regarded as conservative because the meaning of conservatism depends on what is considered traditional in a given place and time. Conservative thought has varied considerably as it has adapted itself to existing traditions and national cultures.[6] For example, some conservatives advocate for greater government intervention in the economy[7] while others advocate for a more laissez faire free market economic system.[8] Thus conservatives from different parts of the world—each upholding their respective traditions—may disagree on a wide range of issues. Edmund Burke, an 18th-century politician who opposed the French Revolution, but earlier paradoxically supported the American Revolution, is credited as one of the main theorists of conservatism in the 1790s.[9]"
real estate,"Real estate is property consisting of land and the buildings on it, along with its natural resources such as crops, minerals or water; immovable property of this nature; an interest vested in this (also) an item of real property, (more generally) buildings or housing in general.[1][2]

Real estate is different from personal property, which is not permanently attached to the land, such as vehicles, boats, jewelry, furniture, tools and the rolling stock of a farm."
real estate in the city,"Real estate is property consisting of land and the buildings on it, along with its natural resources such as crops, minerals or water; immovable property of this nature; an interest vested in this (also) an item of real property, (more generally) buildings or housing in general.[1][2]

Real estate is different from personal property, which is not permanently attached to the land, such as vehicles, boats, jewelry, furniture, tools and the rolling stock of a farm."
new york city business growth,"The economy of New York City encompasses the largest municipal and regional economy in the United States. Anchored by Wall Street in Lower Manhattan, New York City has been characterized as the world's premier financial center.[1][2][3][4] It is home to the New York Stock Exchange (NYSE) and NASDAQ, the world's two largest stock exchanges by both market capitalization and trading activity. In 2012, the New York metropolitan area generated a gross metropolitan product (GMP) of over US$1.33 trillion with a population of 20.3 million people. The Combined Statistical Area[5] produced a GMP of over US$1.55 trillion. Both are ranked first nationally by a wide margin and being roughly equivalent to the GDP of South Korea at less than half its population.[6] The city's economy accounts for most of the economic activity in both the states of New York and New Jersey.[7]

Manhattan is the world's leading center of banking, finance, and communication. It is home to the New York Stock Exchange (NYSE) on Wall Street. Many of the world's largest corporations are headquartered in Manhattan. The borough contained over 500 million square feet (46.5 million m2) of office space in 2015, [8] making it the largest office market in the United States.[9] Midtown Manhattan, with nearly 400 million square feet (37.2 million m2) that same year,[8] is the largest central business district in the world.[10] New York City is distinctive for its high concentrations of advanced service sector firms in the law, accountancy, banking and management consultancy fields. It is the top global center for the advertising industry, which is metonymously called ""Madison Avenue"". Silicon Alley, metonymous for New York's broad-spectrum high technology sphere, continues to expand.

Finance, high technology, real estate, insurance, and health care all form the basis of New York City's economy. The city is also the nation's most important center for mass media, journalism, and publishing. Also, it is the country's preeminent arts center. Creative industries such as digital media, advertising, fashion, design, and architecture account for a growing share of employment. New York City possesses a strong competitive advantage in these industries.[11] Despite declining, manufacturing remains consequential."
immigrantt workers,"Foreign workers or guest workers are people who work in a country other than one of which they are a citizen. Some foreign workers use a guest worker program in a country with more preferred job prospects than in their home country. Guest workers are often either sent or invited to work outside their home country, or have acquired a job before they leave their home country, whereas migrant workers often leave their home country without having a specific job in prospect.

Tens of millions of people around the world operate as foreign workers. As of 2018, according to reports from the Bureau of Labor Statistics, there is an estimated 28 million foreign-born workers in the United States,[1] which draws most of its immigrants from Mexico, including 4 or 5 million undocumented workers. It is estimated[by whom?] that around 5 million foreign workers live in northwestern Europe, half a million in Japan, and around 5 million in Saudi Arabia. Between January and June in 2019 2.4 million foreigners arrived to work in Russia.[2] A comparable number of dependents may accompany international workers.[3]

Some foreign workers migrate from former colonies to a former colonial metropole (France, for example).[4] Chain migration may operate in building guest-worker communities."
fly,"Air travel is a form of travel in vehicles such as airplanes, jet aircraft, helicopters, hot air balloons, blimps, gliders, hang gliders, parachutes, or anything else that can sustain flight.[1] Use of air travel has greatly increased in recent decades – worldwide it doubled between the mid-1980s and the year 2000.[2] Modern air travel is much safer than road travel."
this paragraph only talk about the flight travel.,"Air travel is a form of travel in vehicles such as airplanes, jet aircraft, helicopters, hot air balloons, blimps, gliders, hang gliders, parachutes, or anything else that can sustain flight.[1] Use of air travel has greatly increased in recent decades – worldwide it doubled between the mid-1980s and the year 2000.[2] Modern air travel is much safer than road travel."
mathematical declline,"n the 1960s there were some major changes in the way schools taught their students in the United States. Reading began to be taught in a more random and illogical manner.  The teaching of systematic phonics was replaced with the ""look-say"" or ""whole language"" method, which relies on guessing and memorizing word shapes. The systematic teaching of phonics gives the students the tools they need to read any word.  It is only logical.  But our schools have given up on logic. 

Paul has studied the old math books and found that they used to be much more logical and systematic in their approach.  He began to teach math in the public schools in 1962.  There was a big change in the approach to the teaching of mathematics at that time.  There was a group called the ""School Mathematics Study Group"" or SMSG, which was formed to counter-act the lead that the Soviet Union had taken in the space race.  This group came up with something called ""modern math"", which was supposed to solve our problems.  In fact, it produced a generation of mathematical illiterates.  The notion of a ""spiral curriculum"" was also part of the changes in the approach to the teaching of mathematics. 

This approach stresses the continual introduction of various concepts in mathematics without developing an understanding of the laws behind them.  It is also based on memorization and guessing.  In math, guessing is called estimating.  Like reading, math is systematic and is best taught in a systematic manner.  According to the 1999 TIMMS test, which compares the mathematical  abilities of students in 21 countries, the students from the United States came in 19th.  They did better than students from South Africa and Cyprus.  All other students did better than those from the U.S.  As of 2007, the U.S. has quietly withdrawn from participation in these tests as math scores in the U.S. continue to decline.  If you use the materials and methods of the government schools, why would you expect a different outcome?"
optimism,"Optimism is an attitude reflecting a belief or hope that the outcome of some specific endeavor, or outcomes in general, will be positive, favorable, and desirable. A common idiom used to illustrate optimism versus pessimism is a glass filled with water to the halfway point: an optimist is said to see the glass as half full, while a pessimist sees the glass as half empty.

The term derives from the Latin optimum, meaning ""best"". Being optimistic, in the typical sense of the word, is defined as expecting the best possible outcome from any given situation.[1] This is usually referred to in psychology as dispositional optimism. It thus reflects a belief that future conditions will work out for the best.[2] For this reason, it is seen as a trait that fosters resilience in the face of stress.[3]

Theories of optimism include dispositional models, and models of explanatory style. Methods to measure optimism have been developed within both theoretical systems, such as various forms of the Life Orientation Test, for the original definition of optimism, or the Attributional Style Questionnaire designed to test optimism in terms of explanatory style.

Variation in optimism and pessimism is somewhat heritable[4] and reflects biological trait systems to some degree.[5] It is also influenced by environmental factors, including family environment,[4] with some suggesting it can be learned.[6] Optimism may also be linked to health.[7]"
delayed motherhood,"For the purpose of logistic regression modeling, we defined delayed motherhood as women having no children, who planned or were unsure about future children, and were either older than 30 or 33."
soviet kanukistan,"First attested in a 1993 article in the US anti-Semitic publication The Liberty Bell. Subsequently (and apparently independently) used by American conservative political commentator Pat Buchanan on the October 31, 2002 episode of his MSBNC television show, in reaction to Canadian objection to a U.S. law mandating Arab-Canadian visitors to the U.S. be photographed and fingerprinted."
news,"News is information about current events. This may be provided through many different media: word of mouth, printing, postal systems, broadcasting, electronic communication, or through the testimony of observers and witnesses to events. News is sometimes called ""hard news"" to differentiate it from soft media.

Common topics for news reports include war, government, politics, education, health, the environment, economy, business, fashion, and entertainment, as well as athletic events, quirky or unusual events. Government proclamations, concerning royal ceremonies, laws, taxes, public health, and criminals, have been dubbed news since ancient times. Technological and social developments, often driven by government communication and espionage networks, have increased the speed with which news can spread, as well as influenced its content. The genre of news as we know it today is closely associated with the newspaper."
better teachers,better teachers
self diagnosis,"Self-diagnosis is the process of diagnosing, or identifying, medical conditions in oneself. It may be assisted by medical dictionaries, books, resources on the Internet, past personal experiences, or recognizing symptoms or medical signs of a condition that a family member previously had.

Self-diagnosis is prone to error and may be potentially dangerous if inappropriate decisions are made on the basis of a misdiagnosis.[1] Because of the risks, self-diagnosis is officially discouraged by governments,[1] physicians, and patient care organizations. Even physicians are discouraged from engaging in self-diagnosis,[2] because doctors also make mistakes in diagnosing themselves.[3] If the self-diagnosis is wrong, then the misdiagnosis can result in improper health care, including wrong treatments and lack of care for serious conditions.[4]

One of the greatest dangers of self-diagnosis in psychological syndromes is that you may miss a medical disease that masquerades as a psychiatric syndrome. ... Self-diagnosis also undermines the role of the doctor, which is not the best way to start the relationship. ... Then there is the fact that we can know and see ourselves, but sometimes, we need a mirror to see ourselves more clearly. ... By self-diagnosing, you may be missing something that you cannot see. ... Another danger of self-diagnosis is that you may think that there is more wrong with you than there actually is. ... Self-diagnosis is also a problem when you are in a state of denial about your symptoms.[5]
However, self-diagnosis may be appropriate under certain circumstances.[6][7] All over-the-counter (non-prescription) medications are offered on the assumption that people are capable of self-diagnosis,[6] determining first that their condition is unlikely to be serious and then the possible harm caused by incorrect medication minor. Some conditions are more likely to be self-diagnosed, especially simple conditions such as head lice and skin abrasions or familiar conditions such as menstrual cramps, headache or the common cold.

Complex conditions for which medications are heavily advertised, including conditions like ADHD in adults,[8] present a more challenging situation. Direct-to-consumer marketing of medications is widely criticized for promoting inappropriate self-diagnosis.[9][10] One other condition that is commonly self-diagnosed is gluten intolerance.[11]"
state rights,"In American political discourse, states' rights are political powers held for the state governments rather than the federal government according to the United States Constitution, reflecting especially the enumerated powers of Congress and the Tenth Amendment. The enumerated powers that are listed in the Constitution include exclusive federal powers, as well as concurrent powers that are shared with the states, and all of those powers are contrasted with the reserved powers—also called states' rights—that only the states possess.[1][2]"
justice gisnberg,"Joan Ruth Bader Ginsburg (/ˈbeɪdər ˈɡɪnzbɜːrɡ/ BAY-dər GHINZ-burg; née Bader; March 15, 1933 – September 18, 2020)[1] was an American lawyer and jurist who served as an associate justice of the Supreme Court of the United States from 1993 until her death in September 2020.[2] She was nominated by President Bill Clinton, replacing retiring Justice Byron White,[3] and at the time was generally viewed as a moderate consensus-builder. She eventually became part of the liberal wing of the Court as the Court shifted to the right over time. Ginsburg was the first Jewish woman and the second woman to serve on the Court, after Sandra Day O'Connor. During her tenure, Ginsburg wrote notable majority opinions, including United States v. Virginia (1996), Olmstead v. L.C. (1999), Friends of the Earth, Inc. v. Laidlaw Environmental Services, Inc. (2000), and City of Sherrill v. Oneida Indian Nation of New York (2005).

Ginsburg was born and grew up in Brooklyn, New York. Her older sister died when she was a baby, and her mother died shortly before Ginsburg graduated from high school. She earned her bachelor's degree at Cornell University and married Martin D. Ginsburg, becoming a mother before starting law school at Harvard, where she was one of the few women in her class. Ginsburg transferred to Columbia Law School, where she graduated joint first in her class. During the early 1960s she worked with the Columbia Law School Project on International Procedure, learned Swedish and co-authored a book with Swedish jurist Anders Bruzelius; her work in Sweden profoundly influenced her thinking on gender equality. She then became a professor at Rutgers Law School and Columbia Law School, teaching civil procedure as one of the few women in her field.

Ginsburg spent much of her legal career as an advocate for gender equality and women's rights, winning many arguments before the Supreme Court. She advocated as a volunteer attorney for the American Civil Liberties Union and was a member of its board of directors and one of its general counsel in the 1970s. In 1980, President Jimmy Carter appointed her to the U.S. Court of Appeals for the District of Columbia Circuit, where she served until her appointment to the Supreme Court in 1993. Between O'Connor's retirement in 2006 and the appointment of Sonia Sotomayor in 2009, she was the only female justice on the Supreme Court. During that time, Ginsburg became more forceful with her dissents, notably in Ledbetter v. Goodyear Tire & Rubber Co. (2007). Ginsburg's dissenting opinion was credited with inspiring the Lilly Ledbetter Fair Pay Act which was signed into law by President Barack Obama in 2009, making it easier for employees to win pay discrimination claims. Ginsburg received attention in American popular culture for her passionate dissents in numerous cases, widely seen as reflecting paradigmatically liberal views of the law. She was dubbed ""The Notorious R.B.G."", and she later embraced the moniker.[4]

Despite two bouts with cancer and public pleas from liberal law scholars, she decided not to retire in 2013 or 2014 when Democrats could appoint her successor.[5][6][7] Ginsburg died at her home in Washington, D.C., on September 18, 2020, at the age of 87, from complications of metastatic pancreatic cancer. The Republican Senate majority in the 116th Congress confirmed Amy Coney Barrett to the vacancy created by Ginsburg's death on October 27, 2020. The appointment of Barrett was one of three major rightward shifts in the court since 1953, following the appointment of Clarence Thomas to replace Thurgood Marshall in 1991 and the appointment of Warren Burger to replace Earl Warren in 1969.[8]"
judaism,"Judaism (Hebrew: יַהֲדוּת‎, Yahadut; originally from Hebrew יְהוּדָה, Yehudah, ""Judah"", via Greek Ἰουδαϊσμός Ioudaismos;[6][7][8] the term itself is of Anglo-Latin origin c. 1400[9]) is an Abrahamic, monotheistic, and ethnic religion comprising the collective religious, cultural, and legal tradition and civilization of the Jewish people, also sometimes called Israelites.[10][1][11] Judaism is considered by religious Jews to be the expression of the covenant that God established with the Children of Israel.[12] It encompasses a wide body of texts, practices, theological positions, and forms of organization. The Torah is part of the larger text known as the Tanakh or the Hebrew Bible, and supplemental oral tradition represented by later texts such as the Midrash and the Talmud. With between 14.5 and 17.4 million adherents worldwide,[13] Judaism is the tenth largest religion in the world.

Within Judaism there are a variety of religious movements, most of which emerged from Rabbinic Judaism,[14][15] which holds that God revealed his laws and commandments to Moses on Mount Sinai in the form of both the Written and Oral Torah.[16] Historically, all or part of this assertion was challenged by various groups such as the Sadducees and Hellenistic Judaism during the Second Temple period;[14][17] the Karaites during the early and later medieval period; and among segments of the modern non-Orthodox denominations.[18] Some modern branches of Judaism such as Humanistic Judaism may be considered secular or nontheistic.[19][20] Today, the largest Jewish religious movements are Orthodox Judaism (Haredi Judaism and Modern Orthodox Judaism), Conservative Judaism, and Reform Judaism. Major sources of difference between these groups are their approaches to Jewish law, the authority of the Rabbinic tradition, and the significance of the State of Israel.[3][21][22] Orthodox Judaism maintains that the Torah and Jewish law are divine in origin, eternal and unalterable, and that they should be strictly followed. Conservative and Reform Judaism are more liberal, with Conservative Judaism generally promoting a more traditionalist interpretation of Judaism's requirements than Reform Judaism. A typical Reform position is that Jewish law should be viewed as a set of general guidelines rather than as a set of restrictions and obligations whose observance is required of all Jews.[23] Historically, special courts enforced Jewish law; today, these courts still exist but the practice of Judaism is mostly voluntary.[24] Authority on theological and legal matters is not vested in any one person or organization, but in the sacred texts and the rabbis and scholars who interpret them.

Judaism has its roots as an organized religion in the Middle East during the Bronze Age.[25] Modern Judaism evolved from ancient Israelite religion around 500 BCE,[26] and is considered one of the oldest monotheistic religions.[27][28] The Hebrews and Israelites were already referred to as ""Jews"" in later books of the Tanakh such as the Book of Esther, with the term Jews replacing the title ""Children of Israel"".[29] Judaism's texts, traditions and values strongly influenced later Abrahamic religions, including Christianity and Islam.[30][31] Hebraism, like Hellenism, played a seminal role in the formation of Western civilization through its impact as a core background element of Early Christianity.[32]

Jews are an ethnoreligious group[33] including those born Jewish, in addition to converts to Judaism. In 2019, the world Jewish population was estimated at about 14.7 million, or roughly 0.25% of the total world population.[34][35] About 46.9% of all Jews reside in Israel and another 38.8% reside in the United States and Canada, with most of the remainder living in Europe, and other minority groups spread throughout Latin America, Asia, Africa, and Australia.[36]"
healthy eating,"A healthy diet is a diet that helps maintain or improve overall health. A healthy diet provides the body with essential nutrition: fluid, macronutrients, micronutrients, and adequate food energy.[2][3]

A healthy diet may contain fruits, vegetables, and whole grains, and may include little to no processed food or sweetened beverages. The requirements for a healthy diet can be met from a variety of plant-based and animal-based foods, although a non-plant source of vitamin B12 is needed for those following a vegan diet.[4] Various nutrition guides are published by medical and governmental institutions to educate individuals on what they should be eating to be healthy. Nutrition facts labels are also mandatory in some countries to allow consumers to choose between foods based on the components relevant to health.[5][6]"
