Tweet,Target,Stance
want a homemade chapbook i'm making 10 of these today. Get in the comments to get a homemade chapbook in your mailbox THE LAST BERNIE BRO #NeverBernieSanders,Bernie Sanders,AGAINST
Uh oh #Bernie Ari melber slurping old fraud bernie again Buh bye @msnbc Next.,Bernie Sanders,AGAINST
"I had a really nice brunch with an old friend here from out of town and then the primary came up . . . It became clear that she believes in ""Bernie Bros"" while I see myself, and every CA single mother who can't afford her health ins deductible + rent as the real",Bernie Sanders,FAVOR
#Bernie is talking about bringing the country together but he cant even bring the #BernieSanders together with the rest of the country. #DemocrateDebate,Bernie Sanders,AGAINST
#BernieSanders are rabid! I was attacked all day yesterday for your same stance! Its disgusting and vile!,Bernie Sanders,FAVOR
Hey let's go way back to 2008 and see what was happening then shall we #ObamaBoys #BernieSanders,Bernie Sanders,FAVOR
I just can't... The #BernieSanders are back... But at least there is more of an organized resistance on social media this time,Bernie Sanders,AGAINST
"This kinda shows where the #Bernie Disgusting faux, smearing, asinine narrative stems from. Tom Perez, please join the Tea Party.",Bernie Sanders,AGAINST
Pretty disgusting !! #BernieSanders are dicks and need to cut the childish bullshit !,Bernie Sanders,AGAINST
He's correct. So does booze. Surprised he didn't legalize pot just to upset #AntifaBernie @BernieSanders . Almost every pot head is a,Bernie Sanders,AGAINST
The PeopleForBernie account has been one of the most toxic Bernie accounts on all of Twitter. They did a great job pushing people away from Bernie Sanders and earning the toxic #BernieSanders moniker.,Bernie Sanders,FAVOR
No he knows the score.. He & the #BernieSanders hate the dems more than they hate the @gop and #blotus..,Bernie Sanders,AGAINST
Thanks #BernieSanders for pouting instead of voting in 2016. This is what your progressiveness looks like. Holy Sh*t! What about the families that count on schools to feed their kids?,Bernie Sanders,AGAINST
The white men keep trying to push bernie onto women voters...not happening,Bernie Sanders,AGAINST
"Youre you obviously were not around for the 2016 campaign! The reason we have this asshole is because of Bernie, #ComradeJillStein, @TulsiGabbard, #Bernie which is why Bernie and Tulsi will never be POTUS!",Bernie Sanders,AGAINST
#BernieRussia is NOT a DEMocrat. So quit whining about the #DEMocratic Partys anything - Pelosi and DEMS know he isnt going to win and arent wasting time on him. Pick another worldview #BernieSanders and fellow cult members.,Bernie Sanders,AGAINST
"There was early vote chance so theres no excuse for those arguing this was ilegal, rigged or anything else. Apparently the old folks are the ones who vote for him no? So respectfully where are the #BernieSanders ?? #DemPrimary",Bernie Sanders,AGAINST
"#Bernie - Please stop whining over @AndrewYang's endorsement not being for @BernieSanders. He doesn't owe y'all shit! #YangGang who are upset and complaining about Andrew's recent decisions -- Give it a rest. He really doesn't owe us anything, either...",Bernie Sanders,AGAINST
"Thats whay #BernieSanders do, isn't it? Tons more video posted. It's not a one-off.",Bernie Sanders,FAVOR
"Wow, @SallyAlbright, hope those flames keep you warm at night. Back in non #BernieSanders reality, Bernies fabulous contributions to #Warren debate exchange were I didnt say that and I beat a Republican in 1990. In this debate, @BernieSanders got pantsed and left in his shade.",Bernie Sanders,AGAINST
Isnt what ##Bernie #Bernie are doing the same as #45? Dividing us- which candidate has done more for the black community? Anyone who isnt #45,Bernie Sanders,AGAINST
And #BernieSanders bet @BernieSanders the socialist marxist is in on this too.,Bernie Sanders,AGAINST
"This is gibberish, but then #BernieSanders keep trying to pretend they have great insight into the process just like they pretended the 30-year senator who voted unfailingly with #Russia was ""anti-establishment,""",Bernie Sanders,AGAINST
Killing non-believers was mentioned. AR-15s praised a weapon of US revolutionary movement. #BernieSanders,Bernie Sanders,AGAINST
@NYforbernie2020 gave up too quick. Not a good look for Bernie Supporters. #BernieSanders walk out on the first round. #yang2020 it is! Go #YANGGANG,Bernie Sanders,NONE
I think sanders voters will walk out of the caucus if he doesnt come in first. The #BernieSanders are not interested in working with others.,Bernie Sanders,FAVOR
Stormy Daniels under the direction of Bernie Bros validates the horrifying truth #truth #breakingnews #MondayMotivation,Bernie Sanders,AGAINST
The reason #KamalaHarris lost my vote was two-fold: [1] Repeated stumbles courtesy of inexcusably poor judgement (like her face plants in the last debate). [2] Moon-eyed Harris refuseniks. Your compadres and #Tulsimaniacs are the #Bernie of 2020.,Bernie Sanders,FAVOR
Not necessarily..... you surely over estimate some of them #BernieSanders,Bernie Sanders,AGAINST
WOW Frank.... you certainly pissed off the woke twitter fandom haha. (I think you are mostly correct in your assertion) #BernieSanders cannot accept that the #IntersectionalLeft chose Bernie as their candidate. LOVE seeing the left meltdown though. Makes Quarantine almost worth it,Bernie Sanders,AGAINST
God damn #BernieSanders just tricked me into giving them the password to my Diablo II account and they deleted all my fucking characters,Bernie Sanders,FAVOR
#Bernie - Remember! Just look at the glee in @BernieSanders' face! You should all feel betrayed.,Bernie Sanders,FAVOR
Would you look at this..... seems @BernieSanders is more popular among women than any other democratic candidate in the race. Hmmm. SO much for,Bernie Sanders,NONE
"& I appreciate it, but that doesn't appease me if he won't admit the allegations, get money out of politics or any other platform change that must attract the Young then he doesn't have my vote. & there's people saying they'll blame the #Bernie &amp; the Left, which is most...",Bernie Sanders,AGAINST
"The Corruption of Our Youth Through Political Ideology Indoctrination, Not Education - OpsLens #Socialism #publiceducation #DemocracyInDanger #RealityCheck #BernieSanders",Bernie Sanders,AGAINST
"Oh, he had a screenshot of the post on his phone and has just been waiting for me to come to his work so he could exert his ""authority"" and refuse me entrance It was his moment to redeem his manhood apparently, kinda pathetic #FridayThoughts #Incels #smashpatriarchy #Bernie",Bernie Sanders,FAVOR
"I can't tell if you are a robot. If you aren't, let me refresh your memory. ________ MayoPete PeteTheCheat Pete is a rat ... the list goes on #HardPass #BernieSanders",Bernie Sanders,AGAINST
What do #BernieSanders think of a strong black woman using her platform to deliver a powerful message that resonated with so many? Derision obviously.,Bernie Sanders,AGAINST
"Jeff Weaver, Bernie's guy, is a total snake! I wouldn't trust him with anything!!! #JeffWeaver #BernieSanders",Bernie Sanders,AGAINST
Hey @SenSanders and #BernieSanders I hope you realize the enemy is at our door and getting ready for their attack (attack ads)....... You are helping them by staying in. I know u know this so why do it?????,Bernie Sanders,AGAINST
I care more about his nepotism and his wifes corrupt behavior. #Bernie,Bernie Sanders,AGAINST
Right b/c @DNC has been proven to be above reproach? Think they'll let the #Democrats pick their candidate this time? And not cheat or force feed them one? Where are the socialist #Bernie now?,Bernie Sanders,AGAINST
"Maybe the ""little ppl"" could go back to helping themselves, like all people were doing before #BernieSanders planted the ""everything free"" idea.",Bernie Sanders,AGAINST
Ro: Both sidism? As if #BernieSanders smear is legitimate. Im convinced Ro influence has killed us as hes busy glad handing his way through election as if he has nothing on the line! Dude is retweeting and liking the most vile of #Clinton trolls..who does this shit?,Bernie Sanders,FAVOR
i did not create the #Bernie term.. the #rightwing did that them selves. Thank you for admitting you are not a #Democrat. It saves so much time.,Bernie Sanders,AGAINST
Hell no! Bernie needs to get out. People aren't going to vote for him except his,Bernie Sanders,AGAINST
"@MaddowBlog what is it with the #Bernie , gamers &amp; randoms, that look like theyre either paid randoms or defected to #GreenParty &amp; now Amash ? This smear campaign needs to stop The overwhelming facts are against Tara",Bernie Sanders,AGAINST
And hes done what about it? I havent seen any evidence of his attention to what we all know as #Bernie and their awful behavior.,Bernie Sanders,AGAINST
Boy just wait until those #Bernie find out about @SenSanders rigging the primary in VT! Cant wait to see their outrage,Bernie Sanders,FAVOR
"I thought the #Bernie were much to handle, yet now we're about to have #BetoBros.... god help us all.",Bernie Sanders,AGAINST
"Well it looks like the #Bernie found the #BernieSoBlack hashtag, and are drowning it in chastisements to all of us for finding it so funny. Once again showing that nothing ruins something really good like a supporter of Bernie Sanders.",Bernie Sanders,FAVOR
Its clear that #WarrenLies was looking to hurt #BernieSanders and thought shed go for the #Bernie route. Considering his #1 donor are teachers -who are primarily women- I think your message of him being anti-women is bullshit.,Bernie Sanders,FAVOR
The trolling and hatred I have seen by some (not all) Bernie supporters tonight really is a turn off. I dont know why some people are so cruel and arrogant. #notagoodlook #Bernie #sanders #NVCaucus #Caucus #election2020 #SaturdayThoughts #trolling #berniesanders,Bernie Sanders,AGAINST
"I want to thank @BernieSanders and all his NH campaign staff for returning my campaign donation. To all my fellow #BernieSanders : if you bug them enough, they will return your donation! After all they only earned $7/ hour and arent interested in arguing with you over his money.",Bernie Sanders,FAVOR
The Bernie Bros who decided to run with an old white man as candidate for President (Bernie Sanders) are now demanding a black female VP.,Bernie Sanders,AGAINST
"Truth, the #BernieSanders are truly a vile faction but apparently, sadly, a growing component. #NoTimeForOldWhiteMen",Bernie Sanders,AGAINST
This!!!! So important. @BernieSanders has earned my vote because of his consistency over decades and committment to the issues. #BernieSanders,Bernie Sanders,FAVOR
"No, #Bernie would NOT be the nominee. The actions of the and the rest of you have NOT made people warm to #Bernie. Y'all lost this for him.",Bernie Sanders,AGAINST
"Ah, the #Bernie are back. Where can I hide. Just saying, he is not a #Democrat",Bernie Sanders,AGAINST
U pissed off a whole lot of #Bernie Rogan does not meet their purity test. The DNC is ready to ambush u again. U going to fight this time? Or just take it and campaign for the person they hand pick again? #tooweak to govern.... #election2016,Bernie Sanders,AGAINST
"Lol hyperbole much... there is a huge difference between 30 and 80... bernie is closer to 80... you #BernieSanders love semantics... enjoy your mcjob, hope you enjoy it. Watch small business crumble with 15/hr pushing jobs to big corps that will automate them away.",Bernie Sanders,AGAINST
"So, the #BernieSanders latest talking point: flippantly suggesting the Warren is pro-AIDS-death because she was a republican in the 80s. Im so sick of this cultish bullshit.",Bernie Sanders,AGAINST
"What Bernie Says Here Should INFURIATE EVERY Bernie Bro! March 8, 2020",Bernie Sanders,FAVOR
"Its an echo chamber. It just amplifies his fans who also happen to be #Bernie already. It doesn't sway anyone who A) wasn't already a Bernie fan, or B) anyone who is a Rogan fan but not a Bernie fan. Also, its the weirdest, loneliest, Venn Diagram ever.",Bernie Sanders,AGAINST
"Oh, another one of these charming #BernieSanders who believe I want people to die or dont care about universal affordable healthcare because I think Bernie is ineffective and wont get it done! I dont have faith in him! He hasnt achieved much in 30 years! He wont now!",Bernie Sanders,AGAINST
Order 66 is trending. Guess the #BernieSanders are tweeting about what they fantasize about doing to team MAGA.,Bernie Sanders,FAVOR
Yeah real cute... showing off for these #BernieSanders cause they like you of a sudden. They will *hic* turn on you just like they did our precious #Hillary. I cant believe the audacity of this sanctimonious 180 of yours. To think I once drank mimosas with you. Ugh.,Bernie Sanders,FAVOR
Elections have consequences. Those #Bernie in Madison and Milwaukee who wanted to make a protest vote made their smug little protest vote.,Bernie Sanders,AGAINST
"So, it turns out that the #NeverHillary #Bernie were Russian dupes. Now, they have an excuse for their spoiled temper-tantrums: Don't blame me. Putin made me do it!",Bernie Sanders,AGAINST
"I believe you when you say #Bernie are dicks. Its true. But I dont believe that you arent trying to leverage their dickishness for your candidates political gain, which to me is just as dickish just a smarter dickish. Its all gotta stop.",Bernie Sanders,AGAINST
Good lord I strongly dislike the Bernie cult! They are worse than the MAGAts. #Cult45,Bernie Sanders,AGAINST
Weird. This isn't a #Bernie and yet they are so angry they are yelling FUCK YOU at people. Must be an anomaly.,Bernie Sanders,AGAINST
"#ThankYou, @msolis14. The same was true in 2016. Thats why establishment tv news said the opposite. Let that sink in. THEY STARTED THE #BernieSanders PEJORATIVE BECAUSE THEY KNEW YOUNG WOMEN WERE MOST OF SUPPORTERS. TV pundits = anti-Sanders operatives.",Bernie Sanders,AGAINST
"To all the #Bernie out there disappointed by tonights results, here's what I would say. The media is now going to run a narrative that says @BernieSanders has lost. And maybe he has. But we knew he was at a disadvantage going into these states, and now they have to debate",Bernie Sanders,AGAINST
DAMNIT!!!! I thought Putin was supposed to be helping Republicans cheat in the election not Bernie Sanders! #BernieIsARussianAsset #BernieSanders #BernieYellsForUs,Bernie Sanders,AGAINST
"#QOTD What happened is the Democratic Partys voter base basically asserted itself, putting forward a strong brick wall against nominating a fairly extreme nominee. #Bernie &amp;his toxic cult",Bernie Sanders,AGAINST
"One of the reasons I am NOT for #berniesanders (but Ill vote for him if he wins the nomination), is I cannot honestly tell the Bernie Bros from the Foreign Disruption Bots. My only clue is that #BernieSanders usually have HIS picture or a blip about him in their profiles.",Bernie Sanders,AGAINST
Check out who is behind TDMS Research. One 69 year-old dude who lives near Bernie with ZERO polling or statistics experience. THIS is who the #Bernie are claiming as their expert LOL!,Bernie Sanders,AGAINST
"@my 33 followers :) , just joined a referral/networking group for artists and designers here on the Twitter machine. Stay tuned for increased activity and retweeting of all kinds of cool shtuff! and here's an @SenSanders drawing i did recently #BernieSanders",Bernie Sanders,NONE
You are living in a dream land. Besides which you just show your stripes with the offensive language you just used. Real #Bernie behaviour. He WONT be the nominee.,Bernie Sanders,NONE
"So would it be unconstitional to shoot one of these mofos in the face? Stay in the midwest son, bring that AR, racism and ur white skin to south florida. Personally express my constituional rights to your face #guns #america #revolution #Bernie",Bernie Sanders,AGAINST
"""When you're accustomed to #privilege, #equality feels like #oppression."" #BernieSanders &amp; #MAGAts both want the 1950s back, but only the latter have the s to admit it.",Bernie Sanders,AGAINST
So we shouldnt defend a good democrat who was invited to a vigil only to be unjustly attacked because shes a Clinton? BS! #Clinton #Bernie,Bernie Sanders,AGAINST
"I can't tell if the #BernieSanders don't like my hat, or my establishment Planned Parenthood pin. Either way, I am crushed.",Bernie Sanders,AGAINST
"And that's the problem. #BernieSanders subscribe to a black-or-white one-size-fits-all dogmatism with purity tests. Others, like Warren, have the ability to see the shades of gray beyond false equivalences.",Bernie Sanders,AGAINST
This need to make its way to Bernie supporters! enough of that!,Bernie Sanders,FAVOR
"Lets instead put our energy towards publicly calling out the #BernieSanders trolls early this election cycle. Whenever and wherever possible - Twitter and elsewhere. We cant stop them, but we can make sure they know theyre not part of the movement.",Bernie Sanders,AGAINST
"If yall gonna be this butt hurt over a tiny comment, you arent fit to be presi- oh thats right. You arent running. Maybe yall arent fit to vote. Take a page from your messiah and get over it. #Bernie",Bernie Sanders,AGAINST
@SenSanders Not on Facebook or any games. For. That. Exact. Reason! This is Orwellian intrusive. Thank goodness most of the people I know are #BernieSanders I block all &amp; rigid cultists so don't even try. Rev. Dawn,Bernie Sanders,AGAINST
"#BernieSanders pushing Russian propaganda and doctored pictures, how 2016 of them. And they dont even realize this is why Bernie will never be president.",Bernie Sanders,AGAINST
"Have you heard? Bernie doesn't want it. He's with the #Bernie and screw olive branches. if he's on the team, he can catch up to the train.",Bernie Sanders,AGAINST
"If #Bernie had any sense, they'd run as independents in every race they can afford because the #DNC will screw them every chance they get. But they won't, they are too stupid to know where the real power is, they'll just be used as agent provocateurs again for their masters!",Bernie Sanders,AGAINST
"are you seriously a democrat? thanks for the ""peasant"" that's new. yes, i do care about my silly principles. we #BernieSanders are known for that.",Bernie Sanders,AGAINST
It makes complete sense to me that a great deal of Bernie Sanders supporters are also found of Jordan Peterson. #redflag,Bernie Sanders,AGAINST
"I was never a huge Bernie fan, but after reading this, #BernieSanders can his campaign, surrogates, etc can GFT. Totally over and",Bernie Sanders,AGAINST
"Bernie Bro denies the existence of #BernieSanders as the entire Twitter-verse sees those said Bros in full meltdown, slander, and abuse mode on #WarrenIsASnake #NeverWarren and others Just read those tags, BRO. People have had enough of your toxic shit. #menaretrash",Bernie Sanders,AGAINST
"just like the spoke up at the polls....5 yrs online bullying from #Bernie just led 2 voters keeping their mouths shut and voting, voting, voting...when an adult with a questionable past makes a criminal allegation- and trust fund babies use her 4 fame and politicking- we c it",Bernie Sanders,FAVOR
"#DemocraticDebate I see the Bernie Bros are in full, foul-mouthed force tonight on twitter. Doing yourself no favors, fellahs. #BernieBrothers",Bernie Sanders,AGAINST
Hes a big phony! Hes now trying to Pander to #BernieSanders with a bait and switch for more votes. I hope they learned from 2016.,Bernie Sanders,NONE
"I agree but #Bernie is just a sheep herder, that should be obvious even to #BernieSanders by now",Bernie Sanders,AGAINST
"Oh...bugger off Bernie. For starters, you're not a Democrat. Secondly, now we get #Bernie 2.0.",Bernie Sanders,FAVOR
This woman? #Bernie can run a smear campaign any better than they ran Bernies campaign! #idiots,Bernie Sanders,AGAINST
"the #BernieSanders and the rest of Twitter preached that Warren should have dropped faster and it was IMMORAL for her to keep taking donations. has less than 1% chance of getting the nomination. per your own measures, staying in is IMMORAL.",Bernie Sanders,AGAINST
White Protester Steals Mic from Black Supporter of @PeteButtigieg Some are asking if these are #BernieSanders who showed up to protest #MayorPete.,Bernie Sanders,AGAINST
Would somebody fact check me? SENATOR #HILLARYCLINTON probably sponsored more legislation than fingerpointer #cult leader. #BernieSanders,Bernie Sanders,AGAINST
Don't be divisive. #Bernie are a Russian social media construct and most are bots.,Bernie Sanders,AGAINST
"#BernieSanders dont wanna listen to or support Black women, but theyll damn sure twist their words and co-opt a movement. Foh.",Bernie Sanders,AGAINST
"The #Bernie were such abusive bullies during the campaign we HRC supporters had to hide in closed, secret FB groups to share info and organize. MANY, including journos, had been targeted for harassment and/or doxxed. #MyBernieStory",Bernie Sanders,AGAINST
Bernie burned out. Because he has no clout. His #Bernie are not in the know that between the 2 presidential runs his rape and pillage for $75 Millions to buy a new village. VILLAGE IDIOTS. COMMUNIST TRASH. @BernieSanders did it ALL for the CASH.,Bernie Sanders,AGAINST
"Can't wait to block all the #Bernie that come outta the woodwork. Cause you *know* they coming. It's a compulsion, they can't help themselves.",Bernie Sanders,AGAINST
It most definitely wont be Bernie Sanders and his toxic group of cultists.,Bernie Sanders,AGAINST
Unless you're gonna pay every American to vote for you I don't see how you're going to win? Your commercials are very annoying especially when I tried to escape from politics and watch TNT but I still see u #BernieWinsNevada #BernieSanders #rabbit does not like Mike,Bernie Sanders,AGAINST
Just please don't be a #Bernie or far lefty (return address was Debbie Wasserman Schultz. #staycalm #resistterror #mailbomb,Bernie Sanders,AGAINST
"David Sirota tweeted abt me today, labeling me unhinged, hateful-- effectively calling on #Bernie to attack. I had 5 followers &amp; was retweeting his own awful fanbase. They attacked. He then deleted it &amp; blocked me. @SenSanders wanted this when he hired him. He's not sorry.",Bernie Sanders,FAVOR
"The #ElizabethWarren hate coming from #Sander supporters is not only laughable, but cultish in it's most organic form and no, do not mistake this for passion! #Election2020 #BernieSanders",Bernie Sanders,FAVOR
"This will soon change to ""I was going to vote for Bernie, until I voted against him"" #berniesanders",Bernie Sanders,FAVOR
"@AOC and climate change Inc. is the climate crisis. Go hide with your #Bernie in Iowa, @AOC",Bernie Sanders,AGAINST
"Hey #BernieSanders , let me know what Bernie did to earn Yangs support. Need I remind you that Bernie practically ignored him and launched smears at him throughout his WHOLE campaign?",Bernie Sanders,AGAINST
"So far, the #BernieSanders substantive response has been to be insanely jealous of my hat, and to racistly insist that the only thing Obama and Jesse Jackson have in common is that they're both black.",Bernie Sanders,AGAINST
You know what #BernieSanders lets go head and do this Medicare for all. Because what sounds good to you may not be good for everybody else. Lets go head and push it through @TheDemocrats @HouseDemocrats @dscc,Bernie Sanders,FAVOR
"Some feel secure, dignified when they have stuff none can take. We call them dictators. People from whom dictators take stuff, who feel secure and dignified when someone with power guarantees them food they don't actually have, are socialists. #KAG #SocialismKills #BernieSanders",Bernie Sanders,AGAINST
You telling me that 10-20-30 plan that #BernieSanders keeps trying to sell to the #ADOS community as something that will *DISPROPORTIONATELY* help us really funds predominantly white rural communities? C'mon,Bernie Sanders,AGAINST
#BernieSanders please use some damn common sense! This guy doesnt have a f**king clue! Hes just rattling off free crap. Hes never accomplished a thing but running off his mouth. Be responsible citizens dont fall for this idiot BS,Bernie Sanders,AGAINST
They - #BernieSanders reveal themselves all the time. Hes using the party and he definitely didnt help us win in 2016.,Bernie Sanders,AGAINST
DNC rigged the game. I know you'll claim some shit about #Bernie but if you don't care about rigging in the primary you can't care about it in the general. Bury your head in the sand all you want. I would accept an honest loss. The guy who can't speak from more than 4 mins...,Bernie Sanders,FAVOR
"Why Michael Moore's new film #PlanetoftheHumans was withdrawn from release. In short, it's a pile of garbage. #ClimateChange #Renewables #Russia #Bernie",Bernie Sanders,AGAINST
"I thought we established that #Bernie was not gender identified and meant to speak generally to his army? If not, my bad. Either way, it wasnt a compliment to any of the super crazy supporters.",Bernie Sanders,AGAINST
I can't wait till all the #BernieSanders figure out that even though Bernie is a quisling who constantly strives to protect antisemites and hurt jews... he is still JEWISH... that all their racist BS applies to their great savior... Maybe they won't figure it out?...,Bernie Sanders,AGAINST
@BernieSanders wrote fantasy rape porn yet his supporters cant imagine him having issues with women.,Bernie Sanders,AGAINST
"This is why the #NeverWarren hashtag needs to die. The mic feed seems to back #Warren based on #Bernie's reaction &amp; how he scurried off. #VoteBlueNoMatterWho, but the #Bernie need to chill. They can be as rabid as the #MAGAts &amp; it's not helping him.",Bernie Sanders,NONE
"You nailed it! Everyone saw Sanders in 2016 go straight into attack mode against the Democrat Party, oblivious to women being sexual harassed in his own campaign, and #BernieSanders harassing Democrats that were not pro Bernie on Twitter. He plays oblivious to everything. 1/",Bernie Sanders,FAVOR
Actually the best way would have been not to kill millions of #BernieSanders before their birth but what do I know?,Bernie Sanders,FAVOR
"Uh-oh. #Bernie warned us that #Minneapolis would burn if this happened. Oops. Guess they got a little ahead of themselves on that. But hey, no worries. #DNC doesn't pay attention to how their people voted, anyway. It could (and probably will) still be somebody else, anyway.",Bernie Sanders,AGAINST
"No Thanks Bernie Sanders the time for Socialism expired when Obama left office, and good riddance! #dsa #marx #venezuela",Bernie Sanders,AGAINST
I am a former Bernie supporter I'm sorry for being utterly attacked by #BernieSanders since August. If that is not you then I am not referring to you.,Bernie Sanders,AGAINST
#YangGang this is on point - don't let the naysayers and #Bernie tell you otherwise.,Bernie Sanders,FAVOR
"So, #Bernie and #RussianAgents?? How about for all the hypocrites and apologists, we sort out the reality and then - and only then - worry about who the next best nominee should be... Make our anti-Bernie cases then, and only then??",Bernie Sanders,AGAINST
"Bernie, Omar said the same thing...Are all the #Bernie and #BernieBitches being told by their parents to pay rent and internet now?",Bernie Sanders,AGAINST
"This is stone crazy, but #bernielost The nomination and this is just a dream, only a dream. #Velveteen Dream #DREAM IN A DREAM #Cult45 is crazy too. #BernieSanders are there too.",Bernie Sanders,AGAINST
Why do @TheDemocrats ignore this??? #liberals #Bernie you have been deceived. How do you even believe these yahoos.,Bernie Sanders,FAVOR
Listen to Ep. 20-196 - Bernie Silences Delegates by The Kevin Jackson Show via #spreaker #BernieSanders #FirstAmendment listen around 3:50 #USA @BernieSanders,Bernie Sanders,NONE
#essaypay #essayhelp #assignmentdue #AssignmentHelp #homeworkhelp #homeworkslaves #homeworkdue #BernieOnTheBallot #FreeCodeFridayContest #OneDirection #BernieSanders #TBT Hire me to write your #assignments In any discipline. DM now for help Below is our guarantees to you.,Bernie Sanders,AGAINST
As a @HillaryClinton supporter from 2015- I've NEVER signed up for #BernieSanders campaign list. Anyone else get this fraudulent email? I do recall that @SenSanders campaign staff took HRC voter contact data. @DNC must investigate. #GoAwayBernie #lies,Bernie Sanders,AGAINST
Idk. Lets give communism a shot. Ive never met an unhappy Russian! #BernieSanders,Bernie Sanders,AGAINST
yeah Hillary is a total sexist and racist because #Bernie also erases his minority support. Theres no one worse than #Hillary,Bernie Sanders,FAVOR
"Bernie is stellar, but Warren? Not so much. She pretended to be Native American to get free sh*t, thats disgusting. Unforgivable, no. Disqualifying, hell yes. #DemocraticDebate",Bernie Sanders,FAVOR
"Dear #Bernie and #BernieOrBusters, this one's for you. Thanks. For the end of American government. (Btw, that Russian 'bots lied to me about Hillary excuse doesn't work. You were just wrong.) @bobcesca_go @GregProops @DeanObeidallah @FrankConniff",Bernie Sanders,AGAINST
I love how the #BernieSanders have finally admitted to wanting to punish the rest of us if we don't vote their way,Bernie Sanders,FAVOR
We dont care about what #BernieSanders said. The truth is the seed of #FreedomDividend has been planted and it will grow and over take the old seed that cannot germinate. It is the end of era for @BernieSanders. We thank for his service. It is time to move forward!,Bernie Sanders,AGAINST
"I'm a Lifelong Dem (since 1989) is With Bernie. Many of us #Bernie are lifelong Dems. I was ""VBNMW"" before they even started saying it. But if the Dems don't nom #BernieSanders when he wins the plurality (if not a majority), then they don't want my vote.",Bernie Sanders,FAVOR
"The difference between #Bernie and everybody else is that supporters aim vitriol at individuals who explicitly spread false information, and it's unheard of to attack an entire support base. But centrists are cool to just disparage all of us.",Bernie Sanders,AGAINST
Ever wonder if theres a media bias against Bernie Sanders? Wonder no more! #BernieSanders #NevadaCaucuses,Bernie Sanders,FAVOR
"ily but no, look here @washingtonpost @nytimes @NBCNews @CNN etc etc etc. We need this to get OUT. Not hushed up. We need a #metoo movement against #Bernie",Bernie Sanders,AGAINST
This is what @BernieSanders and his #Bernie do. If you go with him be prepared to toe the line or expect more of this #BernieWonNewHampshire #BernieSanders #WednesdayMotivation #WednesdayThoughts #NevadaCaucuses #Nevada #Warren2020 #WinWithWarren #OneForAllAndAllForWarren,Bernie Sanders,AGAINST
"Your memories are not borne out by the reality of the vote. Bernie supporters who had swallowed the lies about unfair treatment from the #DNC wrote-in Bernie. Yes, at the end, Bernie him self DID support Hillary, even as the #Bernie were busy spewing #rightwing lies.",Bernie Sanders,AGAINST
"The Airports are run by the Federal gov., so don't expect this problem to go away anytime soon. This is Healthcare under Bernie Sanders btw #CoronaVirusUpdates #coronavirusillinois",Bernie Sanders,AGAINST
But its #BernieSanders who cant wait to share and weaponize anything they can that divides the Dems. Especially if they can blame it on @ewarren.,Bernie Sanders,FAVOR
"The term #Bernie is a pejorative. It contributes to the divisiveness that many say they hate... FFS how many Anyone But Bernie people act like they're not just as bad? But he's not a Democrat! so, would you rather he ran 3rd party? I'm independent, do you want my vote?",Bernie Sanders,AGAINST
All because all the #Bernie who decided not to vote for obviously the very best candidate @HillaryClinton !!! #ImWithHer,Bernie Sanders,AGAINST
"And he never used the term! But Russian bots and #BernieSanders arent unable to understand facts, like he lost to Hillary! Thanks for sharing this",Bernie Sanders,FAVOR
Im so tired explaining to #Bernie about Black people! All Black people are NOT living below the poverty line. Most of us have incredible jobs and make above the median income. This F***ing narrative about their candidate trying to help us ....,Bernie Sanders,AGAINST
He would need to be benched for years. #BernieSanders from 2016 are still just as bad if not worse. #Cults are #Toxic.,Bernie Sanders,AGAINST
And you wonder why the supporters of EVERY OTHER CANDIDATE HATE the #Bernie ?!?,Bernie Sanders,AGAINST
Seems Ive been going too hard on the #BernieSanders so @jack had to step in to level the playing field.,Bernie Sanders,AGAINST
Can we put the #Bernie thing to bed for good? Anyone still maintaining that train of thought is either ill informed or downright obstinate. @SenSanders,Bernie Sanders,AGAINST
U #BernieSanders still ButtHurt? Its been 2 weeks yall should be good by now..,Bernie Sanders,AGAINST
Alert the #BernieSanders its another hoax-im sure they think the dnc forced her to do all of that.,Bernie Sanders,AGAINST
Love those POC Woke feminists who see nothing wrong with dubbing themselves with white frat boy nickname - #Bernie,Bernie Sanders,AGAINST
November 2020? The day Americans wake up? #BernieSanders can do November. But #JulianAssange will be released way before that. #Wikileaks still has a great deal of ammunition and like the #Maps Columbus had so do they. The Bosnian Tunnels have been discovered. #AXJNEWS,Bernie Sanders,NONE
Wesley(14): Saying Bernie is a dick is like saying water is wet. Youth movement not quite there. #BernieSanders,Bernie Sanders,AGAINST
"Careful, the #Bernie are going to attack you again for pointing out what the numbers are saying.",Bernie Sanders,AGAINST
"He literally just said I dont think its radical to have #FREE access to college...did they hear how #berniesanders is going to pay for this with the #stockmarket?? People, please, get out now, its not too late! #cult #brainwashed",Bernie Sanders,AGAINST
The only time #FakeNews told the truth. So much for money out of politics #BernieSanders,Bernie Sanders,FAVOR
You gotta love the #Bernie always attacking real Dems. This is why so many of us are saying you're just like the #Magats. And that Sen. Sanders &amp; The Orange Blob are two sides of the same coin.,Bernie Sanders,AGAINST
Why am I voting for #BernieSanders? Cuz bailouts are the opposite of capitalism &amp; the GOP threw out all the conservative atheists.... so screw you! #OpDestroyBloomberg,Bernie Sanders,FAVOR
